"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
1,4,59,2,10,2016,"35374_5",4,10
2,4,59,2,10,2016,"35374_4",5,10
1,1,21,1,10,2016,"35379_1",3,10
2,2,29,1,10,2016,"35379_2",3,10
2,1,29,1,11,2016,"35502_2",3,11
1,2,23,1,11,2016,"35502_1",2,11
2,1,35,2,11,2016,"35507_4",5,11
1,4,9,1,11,2016,"35507_1",3,11
2,4,13,1,11,2016,"35507_2",3,11
2,1,37,4,11,2016,"35508_2",3,11
1,3,64,2,11,2016,"35508_3",4,11
1,3,65,2,11,2016,"35508_4",4,11
1,3,69,2,11,2016,"35508_5",3,11
1,3,77,2,11,2016,"35508_8",1,11
2,1,10,4,11,2016,"35518_2",4,11
2,1,3,4,11,2016,"35600_2",1,11
1,1,18,1,20,2016,"35640_1",3,20
2,2,17,1,20,2016,"35640_2",4,20
1,1,21,1,16,2016,"35682_1",2,16
2,2,27,1,16,2016,"35682_2",4,16
1,1,23,1,16,2016,"35788_1",4,16
2,2,26,1,16,2016,"35788_2",3,16
1,1,22,1,8,2016,"36067_1",3,8
2,2,27,1,8,2016,"36067_2",4,8
1,3,54,2,8,2016,"36067_3",4,8
1,1,35,1,16,2016,"36130_1",3,16
2,2,37,1,16,2016,"36130_2",3,16
1,1,31,1,16,2016,"36164_1",3,15
2,2,35,1,16,2016,"36164_2",3,16
2,1,35,4,9,2016,"36186_3",3,9
2,3,57,2,9,2016,"36186_4",4,9
2,3,71,2,9,2016,"36186_6",3,9
2,1,33,4,8,2016,"36250_2",3,8
1,3,56,2,8,2016,"36250_5",4,8
1,3,62,2,8,2016,"36250_4",4,8
1,1,22,1,8,2016,"36321_1",3,8
2,2,23,1,8,2016,"36321_2",2,8
2,3,53,2,8,2016,"36321_3",3,8
2,1,30,4,4,2016,"36333_2",3,4
2,3,58,2,4,2016,"36333_3",5,4
1,1,20,1,16,2016,"36378_1",2,16
2,2,23,1,16,2016,"36378_2",3,16
1,1,10,1,1,2016,"36403_1",2,8
2,2,15,1,1,2016,"36403_2",2,8
1,1,26,1,1,2016,"36409_1",3,1
2,2,28,1,1,2016,"36409_2",4,8
1,1,25,1,19,2016,"36443_1",3,19
2,2,31,1,19,2016,"36443_2",4,19
1,1,24,1,19,2016,"36450_1",3,19
2,2,28,1,19,2016,"36450_2",4,19
1,3,57,2,19,2016,"36450_3",4,19
2,1,33,1,9,2016,"36522_2",4,9
1,2,31,1,9,2016,"36522_1",5,8
2,3,60,2,9,2016,"36522_3",5,8
1,3,64,2,9,2016,"36522_4",4,9
2,1,9,1,9,2016,"36524_2",3,9
1,2,13,1,9,2016,"36524_1",4,19
1,3,40,2,9,2016,"36524_3",5,9
2,1,25,4,19,2016,"36697_1",3,14
1,1,23,1,11,2016,"36893_1",3,11
2,2,32,1,11,2016,"36893_2",3,11
2,3,63,2,11,2016,"36893_4",4,11
2,1,26,1,20,2016,"37001_2",3,20
1,2,22,1,20,2016,"37001_1",3,20
1,3,50,1,20,2016,"37001_4",3,20
2,4,60,1,20,2016,"37001_5",4,7
